date,total_cons,moving_avg,norm_cons
2007-11-01,19674.79,19230.87366666667,1.023083523974409
2007-12-01,18373.88,19203.817333333332,0.9567826896638537
2008-01-01,19005.07,19192.908666666666,0.9902131214226588
2008-02-01,16601.66,19055.115999999998,0.8712442369807668
2008-03-01,18306.65,18980.193333333336,0.9645133576089319
2008-04-01,18962.17,18963.146999999997,0.9999484790156402
2008-05-01,19622.67,18977.35066666667,1.0340047114409294
2008-06-01,21343.62,19109.843999999997,1.1168913780771839
2008-07-01,19750.07,19214.032666666666,1.0278982211924348
2008-08-01,20879.43,19385.064000000002,1.077088525475077
2008-09-01,22148.15,19527.746333333333,1.1341887395471597
2008-10-01,19221.47,19594.029666666665,0.9809860619278095
2008-11-01,17330.99,19547.443333333336,0.8866115995049991
2008-12-01,16513.61,19410.391666666666,0.850761297535212
2009-01-01,13763.61,19224.196666666663,0.7159524134428505
2009-02-01,16150.22,19039.626,0.8482425022424285
2009-03-01,16527.55,18896.07833333333,0.8746550320361889
2009-04-01,16661.39,18774.64,0.8874412505379597
2009-05-01,17037.3,18698.397,0.9111636682010762
2009-06-01,19242.41,18751.825,1.0261619868999416
2009-07-01,20765.16,18836.681999999997,1.1023788584422671
2009-08-01,20635.82,19007.267,1.0856805452356721
2009-09-01,21942.8,19146.201999999997,1.146065418091797
2009-10-01,20385.44,19235.93966666667,1.0597579506513666
2009-11-01,18905.87,19202.212333333333,0.9845672817179034
2009-12-01,18696.22,19164.52666666667,0.9755638803497712
2010-01-01,17527.29,19030.716333333334,0.9210000135044838
2010-02-01,15941.19,18813.948666666667,0.847306978584648
2010-03-01,19350.71,18742.595666666668,1.032445577130752
2010-04-01,18181.5,18648.29033333333,0.9749687330586572
2010-05-01,19326.61,18636.684333333335,1.0370197645850916
2010-06-01,20403.35,18704.333333333332,1.090835457024219
2010-07-01,21186.08,18777.033666666666,1.1282974923568423
2010-08-01,21915.95,18954.176666666663,1.1562596669546714
2010-09-01,22674.01,19099.75533333333,1.1871361493531174
2010-10-01,20872.35,19163.428000000004,1.089176216280302
2010-11-01,20117.25,19179.914,1.048870709222158
2010-12-01,19909.05,19132.094999999998,1.0406100325134284
2011-01-01,18427.49,19088.009000000002,0.9653961290567288
2011-02-01,16612.95,18945.793,0.8768674924295858
2011-03-01,20137.64,18878.776,1.0666814416358348
2011-04-01,18576.33,18857.271333333334,0.9851016974636876
2011-05-01,19989.4,18945.885000000002,1.0550787149821717
2011-06-01,20955.11,19093.935,1.097474669312533
2011-07-01,21424.61,19349.30166666667,1.1072549474438396
2011-08-01,23078.94,19580.259,1.1786841021867995
2011-09-01,22095.57,19765.859666666667,1.1178653685001203
2011-10-01,21144.72,19915.304,1.0617322236205886
2011-11-01,20782.89,20040.157,1.037062234592274
2011-12-01,18858.51,20027.360333333334,0.9416373244462021
2012-01-01,18541.36,19953.233666666667,0.9292408593888566
2012-02-01,16518.59,19815.992666666665,0.8335989156771657
2012-03-01,20403.54,19764.684,1.0323231072148686
2012-04-01,19146.57,19723.38833333333,0.9707546024250568
2012-05-01,21210.54,19800.210666666666,1.071227996362059
2012-06-01,19989.19,19843.309666666668,1.0073516130012516
2012-07-01,21983.66,19991.85533333333,1.0996308063186935
2012-08-01,22466.8,20209.375666666667,1.111701834364766
2012-09-01,21375.21,20276.859,1.0541677091111596
2012-10-01,21752.31,20395.886000000002,1.0665047843471962
2012-11-01,19881.37,20414.378,0.9738905588992228
2012-12-01,17945.32,20332.443666666666,0.8825953384747277
2013-01-01,19719.68,20283.56366666667,0.972199970580449
2013-02-01,16193.26,20092.807333333338,0.8059232207505364
